Id,R,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au,Season
5853,P,"SORRENTINO A.",Monza,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
6184,P,"MARTINELLI T.",Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-23
6184,P,"MARTINELLI T.",Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
6210,P,POPA,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
6234,P,STUBLJAR,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
6248,P,"STANKOVIC F.",Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
205,C,GORI,Frosinone,7,5.93,5.71,0,0,0,0,0,0,0,3,0,0,2018-19
6255,P,GORI,Monza,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
6406,P,BORBEI,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
6415,P,PALMISANI,Frosinone,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
6462,P,OKOYE,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
6482,P,MANDAS,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-24
254,D,DIMARCO,Parma,11,6.14,6.23,1,0,0,0,0,0,0,4,0,0,2018-19
254,D,DIMARCO,Verona,35,6.14,6.57,5,0,0,0,0,0,3,6,0,0,2020-21
254,D,DIMARCO,Inter,25,6.12,6.34,2,0,0,1,0,1,3,1,0,0,2021-22
254,D,DIMARCO,Inter,33,6.21,6.7,4,0,0,0,0,0,4,0,0,0,2022-23
254,D,DIMARCO,Inter,2,6.5,7,0,0,0,0,0,0,1,0,0,0,2023-24
2816,D,"DI LORENZO",Empoli,37,6.03,6.41,5,0,0,0,0,0,3,8,0,0,2018-19
2816,D,"DI LORENZO",Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-20
2816,D,"DI LORENZO",Napoli,36,5.97,6.15,3,0,0,0,0,0,3,11,0,0,2020-21
2816,D,"DI LORENZO",Napoli,33,6.2,6.36,1,0,0,0,0,0,4,3,0,0,2021-22
2816,D,"DI LORENZO",Napoli,37,6.26,6.58,3,0,0,0,0,0,4,2,0,0,2022-23
2816,D,"DI LORENZO",Napoli,2,7.5,10,1,0,0,0,0,0,2,0,0,0,2023-24
4292,D,"HERNANDEZ T.",Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-20
4292,D,"HERNANDEZ T.",Milan,33,6.21,6.86,7,0,0,0,0,0,5,9,0,0,2020-21
4292,D,"HERNANDEZ T.",Milan,32,6.3,6.69,4,0,0,2,1,1,5,5,2,0,2021-22
4292,D,"HERNANDEZ T.",Milan,32,6.11,6.41,4,0,0,1,1,0,3,7,0,1,2022-23
4292,D,"HERNANDEZ T.",Milan,2,6.5,7.5,1,0,0,0,0,0,0,2,0,0,2023-24
5877,D,"CARLOS AUGUSTO",Monza,35,6.16,6.76,6,0,0,0,0,0,5,4,0,0,2022-23
5877,D,"CARLOS AUGUSTO",Inter,2,6,6,0,0,0,0,0,0,0,0,0,0,2023-24
